num_of_players,num_of_gifts,value_noise_ratio,algorithm,random_seed,total_value,min_value,runtime
5,8,0.0,qp_max_min_allocation,2,3943,239,0.09175440017133951
5,8,0.0,qp_max_min_allocation,3,3163,486,0.10268949996680021
5,8,0.0,qp_max_min_allocation,4,2348,311,0.07137240003794432
5,8,0.0,santa_claus_main,0,4677,42,0.1866049999371171
5,8,0.0,santa_claus_main,1,3642,65,0.1813464998267591
5,8,0.0,santa_claus_main,2,4313,609,0.17080779979005456
5,8,0.0,santa_claus_main,3,3965,607,0.21070539997890592
5,8,0.0,santa_claus_main,4,2547,311,0.17867400031536818
5,10,0.0,qp_max_min_allocation,0,4996,865,0.09078500000759959
5,10,0.0,qp_max_min_allocation,1,3043,262,0.057477999944239855
5,10,0.0,qp_max_min_allocation,2,3559,355,0.04491919977590442
5,10,0.0,qp_max_min_allocation,3,0,0,0.09923129994422197
5,10,0.0,qp_max_min_allocation,4,2199,252,0.09308779984712601
5,10,0.0,santa_claus_main,0,5699,919,0.33160579996183515
5,10,0.0,santa_claus_main,1,4930,262,0.25859769992530346
5,10,0.0,santa_claus_main,2,5343,355,0.22567790001630783
5,10,0.0,santa_claus_main,3,5201,595,0.20425700023770332
5,10,0.0,santa_claus_main,4,2637,417,0.2548525999300182
5,12,0.0,qp_max_min_allocation,0,5105,912,0.07385619962587953
5,12,0.0,qp_max_min_allocation,1,0,0,0.1132096997462213
5,12,0.0,qp_max_min_allocation,2,6513,971,0.09550990024581552
5,12,0.0,qp_max_min_allocation,3,3230,486,0.04554249998182058
5,12,0.0,qp_max_min_allocation,4,3017,491,0.09742320002987981
5,12,0.0,santa_claus_main,0,7055,1208,0.652449400164187
5,12,0.0,santa_claus_main,1,5875,138,0.5752391000278294
5,12,0.0,santa_claus_main,2,6926,829,0.6478589000180364
5,12,0.0,santa_claus_main,3,5890,486,0.6096899998374283
5,12,0.0,santa_claus_main,4,3612,581,0.8321181000210345
5,14,0.0,qp_max_min_allocation,0,6787,989,0.09654369996860623
5,14,0.0,qp_max_min_allocation,1,5017,785,0.07819439982995391
5,14,0.0,qp_max_min_allocation,2,0,0,0.1544186999090016
5,14,0.0,qp_max_min_allocation,3,5282,931,0.10031819995492697
5,14,0.0,qp_max_min_allocation,4,3599,539,0.14044540002942085
5,14,0.0,santa_claus_main,0,8708,1208,2.514948599971831
5,14,0.0,santa_claus_main,1,6932,1084,2.4228451000526547
5,14,0.0,santa_claus_main,2,8487,918,1.9016598002053797
5,14,0.0,santa_claus_main,3,6835,1080,2.718168499879539
5,14,0.0,santa_claus_main,4,4849,919,3.217277199961245
6,6,0.0,qp_max_min_allocation,0,3422,42,0.14439420029520988
6,6,0.0,qp_max_min_allocation,1,0,0,0.1333132004365325
6,6,0.0,qp_max_min_allocation,2,0,0,0.08399079972878098
6,6,0.0,qp_max_min_allocation,3,0,0,0.15614520013332367
